TestNum,Real,User,Sys
1,3.23,2.49,0.0
2,3.0,2.52,0.01
3,3.38,2.53,0.0
4,3.23,2.52,0.0
5,3.13,2.52,0.0
6,3.2,2.52,0.0
7,3.22,2.5,0.0
8,3.23,2.49,0.0
9,3.57,2.51,0.0
10,3.76,2.53,0.0
