TestNum,Real,User,Sys
1,2.99,2.5,0.0
2,3.48,2.53,0.01
3,3.79,2.53,0.01
4,3.25,2.5,0.01
5,3.21,2.49,0.0
6,3.1,2.52,0.0
7,3.1,2.52,0.0
8,3.09,2.52,0.0
9,3.59,2.5,0.0
10,4.23,2.54,0.0
