TestNum,Real,User,Sys
1,3.23,2.51,0.0
2,3.55,2.52,0.01
3,3.18,2.49,0.04
4,3.1,2.5,0.0
5,3.09,2.51,0.0
6,3.36,2.49,0.0
7,3.07,2.53,0.0
8,3.15,2.49,0.0
9,3.54,2.52,0.0
10,4.37,2.54,0.0
