TestNum,Real,User,Sys
1,3.14,2.49,0.0
2,3.32,2.53,0.01
3,3.17,2.51,0.03
4,3.13,2.49,0.02
5,3.04,2.49,0.0
6,2.97,2.48,0.0
7,3.16,2.52,0.0
8,3.1,2.5,0.0
9,3.24,2.54,0.0
10,3.7,2.5,0.0
